POSTE;DATE;RR;DRR;TN;TX;TM;FFM;DXY;UM
13054001;20080924;0,0;40;13,8;21,1;16,1;2,0;190;70
13054001;20080925;0,2;0;9,9;22,1;15,6;2,9;340;65
13054001;20080926;10,4;275;10,2;20,8;14,1;2,5;;81
13054001;20080927;0,0;0;9,3;22,4;16,0;2,3;200;71
13054001;20080928;0,0;0;13,1;22,2;16,9;2,3;240;71
13054001;20080929;0,2;0;12,0;22,4;16,9;1,7;290;78
13054001;20080930;0,0;0;10,8;22,7;17,1;4,6;340;64
13054001;20081001;0,0;0;13,7;23,0;17,8;6,0;320;58
13054001;20081002;0,4;230;12,7;22,4;17,9;6,5;290;62
13054001;20081003;0,0;0;13,9;18,7;15,1;8,4;330;52
13054001;20081004;0,0;0;9,5;16,9;12,8;9,2;330;53
13054001;20081005;0,0;0;7,3;19,0;13,1;2,3;310;57
13054001;20081006;0,0;0;9,8;23,7;16,4;1,7;260;60
13054001;20081007;6,8;136;14,8;23,3;19,4;4,1;;78
13054001;20081008;5,6;777;15,3;17,1;16,6;3,4;140;89
13054001;20081009;0,2;0;14,0;21,7;17,1;1,9;;85
13054001;20081010;0,0;0;11,8;25,3;17,4;1,7;190;75
13054001;20081011;0,0;0;12,1;27,6;18,2;2,2;170;71
13054001;20081012;0,0;0;13,1;24,0;18,4;1,4;190;68
13054001;20081013;0,0;0;14,5;21,2;17,8;1,3;240;80
13054001;20081014;0,0;0;14,5;24,7;18,7;1,8;;81
13054001;20081015;0,2;0;13,8;25,3;18,5;1,8;240;81
13054001;20081016;0,0;0;15,7;24,1;19,2;2,8;280;79
13054001;20081017;0,0;0;14,2;19,6;15,5;7,3;330;61
13054001;20081018;0,0;0;6,9;20,3;13,9;1,6;140;74
13054001;20081019;0,0;0;13,9;22,3;18,3;1,7;180;76
13054001;20081020;2,0;;14,0;23,7;18,5;3,0;150;74
13054001;20081021;0,2;4;17,0;23,9;20,0;5,0;140;73
13054001;20081022;42,8;1316;11,0;18,3;14,7;4,2;290;88
13054001;20081023;0,0;0;9,7;16,6;13,0;3,3;350;82
13054001;20081024;0,0;0;13,2;18,7;15,4;1,3;260;84
13054001;20081025;0,0;0;11,9;21,8;15,8;2,3;320;81
13054001;20081026;0,2;0;10,0;22,7;15,1;1,6;130;82
13054001;20081027;0,2;0;10,4;21,0;15,8;2,2;150;82
13054001;20081028;21,0;635;10,3;16,0;12,4;4,2;340;90
13054001;20081029;2,2;214;7,6;10,1;8,6;6,5;310;82
13054001;20081030;0,0;138;4,2;16,8;9,3;3,9;290;72
13054001;20081031;3,0;193;9,2;18,8;16,1;6,6;140;77
13054001;20081101;0,0;0;14,8;19,7;18,1;8,6;130;74
13054001;20081102;31,2;197;13,2;22,2;17,9;8,8;;72
13054001;20081103;7,6;113;12,5;19,4;15,6;4,6;140;76
13054001;20081104;38,0;851;13,1;16,9;14,2;4,0;70;86
13054001;20081105;0,4;45;12,5;15,9;13,4;2,7;210;81
13054001;20081106;2,6;191;11,6;14,6;12,1;2,0;280;87
13054001;20081107;0,0;0;8,1;15,3;10,9;1,5;260;89
13054001;20081108;0,0;0;7,4;17,5;11,3;1,2;140;85
13054001;20081109;0,0;0;6,7;17,9;12,0;1,0;140;86
13054001;20081110;0,0;35;10,5;19,1;14,8;3,5;150;78
